,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd1,Rsvd2,Rsvd3,Rsvd4
90633,2024-06-21,2024-06-21,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8564.3,8642.2,8363.95,8397.25,8397.35,8542.9,,8399.35,,,9622,81507526.0,2487,F1,1,,,,,,,,,
94970,2024-04-23,2024-04-23,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6545.4,6564.85,6293.8,6307.6,6307.6,6526.15,,6307.45,,,15934,101686272.0,3316,F1,1,,,,,,,,,
99223,2024-04-22,2024-04-22,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6396.55,6544.3,6318.8,6526.15,6526.15,6291.2,,6525.35,,,16515,106607816.0,2437,F1,1,,,,,,,,,
103592,2024-06-20,2024-06-20,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8560.05,8660.0,8391.6,8542.9,8542.9,8541.45,,8539.35,,,7129,60912887.0,1792,F1,1,,,,,,,,,
107913,2024-05-31,2024-05-31,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8349.65,8349.65,8170.0,8316.85,8312.05,8255.05,,8317.95,,,3876,31995141.0,826,F1,1,,,,,,,,,
112128,2024-03-22,2024-03-22,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5865.35,6020.95,5834.15,5965.35,5965.35,5865.35,,5967.2,,,22855,135724069.0,2902,F1,1,,,,,,,,,
116363,2024-05-30,2024-05-30,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8120.05,8284.6,8111.0,8255.05,8255.05,8197.75,,8264.45,,,4339,35598646.0,771,F1,1,,,,,,,,,
120574,2024-05-24,2024-05-24,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8430.2,8505.0,8381.05,8417.7,8454.65,8417.6,,8422.15,,,3256,27514603.0,836,F1,1,,,,,,,,,
124864,2024-07-18,2024-07-18,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8185.05,8246.05,7720.0,7895.65,7895.65,8234.1,,7893.2,,,25686,202436752.0,6191,F1,1,,,,,,,,,
129252,2024-07-24,2024-07-24,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7520.0,7633.65,7436.3,7526.0,7526.0,7502.95,,7522.65,,,3951,29705517.0,1098,F1,1,,,,,,,,,
133592,2024-03-20,2024-03-20,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5655.55,5770.0,5560.05,5730.7,5730.7,5629.85,,5733.65,,,8134,46156776.0,1465,F1,1,,,,,,,,,
137798,2024-03-21,2024-03-21,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5779.55,5878.7,5756.2,5865.35,5865.35,5730.7,,5864.9,,,5362,31249541.0,967,F1,1,,,,,,,,,
142057,2024-07-19,2024-07-19,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7895.65,7907.05,7602.3,7619.0,7619.0,7895.65,,7620.45,,,14610,112487290.0,3962,F1,1,,,,,,,,,
146369,2024-05-27,2024-05-27,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8549.15,8549.15,8267.85,8396.05,8375.6,8417.7,,8398.3,,,5691,47547874.0,998,F1,1,,,,,,,,,
150793,2024-05-23,2024-05-23,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8460.0,8489.9,8366.5,8417.6,8405.75,8409.85,,8423.5,,,4389,36967245.0,1285,F1,1,,,,,,,,,
155045,2024-07-09,2024-07-09,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8560.05,8715.9,8554.75,8572.45,8591.65,8558.85,,8590.4,,,3824,32943771.0,903,F1,1,,,,,,,,,
159422,2024-03-19,2024-03-19,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5790.0,5790.0,5612.0,5629.85,5646.0,5764.3,,5628.6,,,4929,28166206.0,838,F1,1,,,,,,,,,
163673,2024-03-18,2024-03-18,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5655.0,5784.95,5625.0,5764.3,5747.0,5626.3,,5766.7,,,7888,45046313.0,1423,F1,1,,,,,,,,,
168059,2024-07-08,2024-07-08,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8682.1,8688.35,8494.15,8558.85,8594.9,8680.85,,8559.55,,,7430,63801238.0,2090,F1,1,,,,,,,,,
172576,2024-05-22,2024-05-22,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8584.85,8590.0,8383.95,8409.85,8409.85,8571.35,,8413.1,,,15273,129266902.0,2586,F1,1,,,,,,,,,
176836,2024-05-08,2024-05-08,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6900.8,7215.0,6805.0,7190.05,7190.05,6887.85,,7186.8,,,14090,99627295.0,3307,F1,1,,,,,,,,,
181063,2024-07-22,2024-07-22,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7501.1,7753.45,7447.7,7709.3,7709.3,7619.0,,7716.9,,,4913,37634712.0,1261,F1,1,,,,,,,,,
185547,2024-03-26,2024-03-26,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5871.5,5984.8,5871.5,5931.9,5933.4,5965.35,,5929.8,,,6532,38722392.0,1079,F1,1,,,,,,,,,
